CPRO,CGEN,CRAC,CJOB,CQUI,TEIN,TAIN,TSII,TOIN,FEDU,FVTP,FCRA,FTAP,LHO1,LHO2,LHO3,LHO4,LCRE,LSAV,LWDA,PPO1,PPO2,PPO3,PPO4,PPO5,ARO1,ARO2,ARO3,ARO4,ARO5
1,1,2,1,3,37,25,7,5,1,1,1,1,,1,,,,5,240,5,2,3,1,3,3,1,1,3,1
1,1,2,1,5,25,22,0,3,0,1,2,1,1,,,,15,,350,2,5,3,1,1,1,1,1,3,1
1,2,2,3,3,33,25,0,8,1,1,1,2,,,,1,,30,260,5,5,1,1,1,1,1,1,,1
1,1,2,1,3,35,30,5,0,1,1,1,,1,,,,,,300,,,,,,,,,,
1,2,2,1,3,36,28,0,8,0,1,1,2,,1,,,,,360,5,5,1,1,1,1,1,1,2,1
1,2,2,,4,21,17,0,4,0,1,1,2,,1,,,,2,360,2,4,3,1,1,1,1,1,2,1
1,1,2,3,1,35,25,0,10,3,2,1,2,,,1,,,70,260,5,2,3,2,3,2,1,3,3,3
1,1,2,1,3,36,28,0,8,0,1,1,2,,1,,,,,260,5,2,3,2,3,2,1,3,3,3
1,1,2,3,3,38,26,12,0,2,2,1,2,,1,,,,25,300,4,3,3,2,3,2,1,2,3,3
1,1,2,1,3,30,22,2,6,0,1,1,2,,1,,,,10,300,5,1,3,2,3,2,2,3,3,3
1,1,2,1,3,58,40,0,18,0,1,1,2,,1,,,,15,270,4,1,3,2,3,2,1,3,3,3
1,2,1,1,3,24,24,0,0,0,1,1,,,1,,,,,,,,,,,,,,,
1,2,1,2,2,32,23,0,9,0,1,1,,,,1,,,,,,,,,,,,,,
1,2,2,1,3,11,11,0,0,0,1,1,2,,1,,,,16,200,,,1,3,1,,2,1,3,1
1,2,2,,5,22,20,0,2,0,1,1,,1,,,,,,,,,,,,,,,,
1,2,2,2,1,95,30,50,15,2,2,1,2,,,1,,,20,200,,,1,,,,,1,,
1,1,1,1,2,47,30,17,0,1,1,1,,,,1,,,,,,,,,,,,,,
1,1,1,1,2,38,28,10,0,2,2,1,2,,,1,,,,,,,1,,,,,,,
1,1,1,1,2,38,26,12,0,2,2,1,,,,1,,,,,,,,,,,,,,
1,1,1,1,2,33,18,15,0,2,2,1,,,,1,,,15,200,,,1,1,2,2,1,1,1,1
